EXEC_FULLNAME;CO_PER_ROL;CONAME;TITLEANN;SALARY;BONUS;STOCK_AWARDS;OPTION_AWARDS;AGE;GVKEY;YEAR;BECAMECEO;PCEO;TITLE;GENDER;SICDESC;TICKER;SIC
Jonathan Oringer;53515;SHUTTERSTOCK INC;;250;0;0;0;37;3382;2011;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Timothy E. Bixby;53516;SHUTTERSTOCK INC;;172.5;0;0;0;46;3382;2011;;;Chief Financial Officer, Chief Accounting Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Thilo Semmelbauer;53517;SHUTTERSTOCK INC;;312.115;0;0;0;46;3382;2011;;;President and Chief Operating Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
James Chou;53519;SHUTTERSTOCK INC;;226;0;0;0;50;3382;2011;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman of Board and Chief Executive Officer;250;0;0;0;38;3382;2012;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Timothy E. Bixby;53516;SHUTTERSTOCK INC;Chief Financial Officer and Chief Accounting Officer;330.77;0;0;1554.5;47;3382;2012;;;Chief Financial Officer, Chief Accounting Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Thilo Semmelbauer;53517;SHUTTERSTOCK INC;President and Chief Operating Officer;331.25;0;0;0;47;3382;2012;;;President and Chief Operating Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
James Chou;53519;SHUTTERSTOCK INC;Chief Technology Officer;267.215;0;0;845.2;51;3382;2012;;;Chief Technology Officer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Jonathan Oringer;53515;SHUTTERSTOCK INC;Founder, Chairman of Board and Chief Executive Officer;250;0;0;0;39;3382;2013;03/05/2022;;Founder & Executive Chairman;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
Timothy E. Bixby;53516;SHUTTERSTOCK INC;Chief Financial Officer, Chief Accounting Officer and Secretary;350.962;0;0;0;48;3382;2013;;;Chief Financial Officer, Chief Accounting Officer and Treasurer;MALE;COMPUTER PROGRAMMING, DATA PROCESSING, AND OTHER C;SSTK;7370
