gvkey;datadate;fyear;indfmt;consol;popsrc;datafmt;tic;conm;curcd;at;ib;costat;ggroup;gind;gsector;sic
3382;31/12/2010;2010;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;13.8630;18.9380;A;5020;502030;50;7370
3382;31/12/2011;2011;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;24.8550;21.8640;A;5020;502030;50;7370
3382;31/12/2012;2012;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;147.1140;47.5430;A;5020;502030;50;7370
3382;31/12/2013;2013;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;278.4880;26.4790;A;5020;502030;50;7370
3382;31/12/2014;2014;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;383.7770;22.0890;A;5020;502030;50;7370
3382;31/12/2015;2015;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;469.1210;19.5520;A;5020;502030;50;7370
3382;31/12/2016;2016;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;501.7780;32.6280;A;5020;502030;50;7370
3382;31/12/2017;2017;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;577.7760;16.7270;A;5020;502030;50;7370
3382;31/12/2018;2018;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;531.4880;54.6870;A;5020;502030;50;7370
3382;31/12/2019;2019;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;630.5120;20.1080;A;5020;502030;50;7370
3382;31/12/2020;2020;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;729.6440;71.7660;A;5020;502030;50;7370
3382;31/12/2021;2021;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;851.7100;91.8830;A;5020;502030;50;7370
4066;31/12/1992;1992;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;1951.9500;65.4980;A;5020;502010;50;7311
4066;31/12/1993;1993;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;2289.8630;85.3450;A;5020;502010;50;7311
4066;31/12/1994;1994;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;2852.2040;108.1340;A;5020;502010;50;7311
4066;31/12/1995;1995;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;3527.6770;139.9550;A;5020;502010;50;7311
4066;31/12/1996;1996;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;4055.9430;176.3290;A;5020;502010;50;7311
4066;31/12/1997;1997;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;4965.7430;222.4150;A;5020;502010;50;7311
4066;31/12/1998;1998;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;6910.0600;285.0680;A;5020;502010;50;7311
4066;31/12/1999;1999;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;9017.6370;362.8820;A;5020;502010;50;7311
4066;31/12/2000;2000;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;9891.4990;498.7950;A;5020;502010;50;7311
