gvkey;datadate;fyear;indfmt;consol;popsrc;datafmt;tic;conm;curcd;at;ceq;ib;costat;ggroup;gind;gsector;sic
3382;31/12/2010;2010;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;13.8630;-54.3030;18.9380;A;5020;502030;50;7370
3382;31/12/2011;2011;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;24.8550;-57.9280;21.8640;A;5020;502030;50;7370
3382;31/12/2012;2012;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;147.1140;76.9340;47.5430;A;5020;502030;50;7370
3382;31/12/2013;2013;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;278.4880;182.5990;26.4790;A;5020;502030;50;7370
3382;31/12/2014;2014;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;383.7770;251.4330;22.0890;A;5020;502030;50;7370
3382;31/12/2015;2015;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;469.1210;288.5650;19.5520;A;5020;502030;50;7370
3382;31/12/2016;2016;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;501.7780;286.6960;32.6280;A;5020;502030;50;7370
3382;31/12/2017;2017;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;577.7760;314.5850;16.7270;A;5020;502030;50;7370
3382;31/12/2018;2018;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;531.4880;286.6670;54.6870;A;5020;502030;50;7370
3382;31/12/2019;2019;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;630.5120;328.1450;20.1080;A;5020;502030;50;7370
3382;31/12/2020;2020;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;729.6440;421.9250;71.7660;A;5020;502030;50;7370
3382;31/12/2021;2021;INDL;C;D;STD;SSTK;SHUTTERSTOCK INC;USD;851.7100;468.4820;91.8830;A;5020;502030;50;7370
4066;31/12/1992;1992;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;1951.9500;308.8920;65.4980;A;5020;502010;50;7311
4066;31/12/1993;1993;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;2289.8630;402.1860;85.3450;A;5020;502010;50;7311
4066;31/12/1994;1994;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;2852.2040;540.7020;108.1340;A;5020;502010;50;7311
4066;31/12/1995;1995;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;3527.6770;551.5070;139.9550;A;5020;502010;50;7311
4066;31/12/1996;1996;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;4055.9430;800.6780;176.3290;A;5020;502010;50;7311
4066;31/12/1997;1997;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;4965.7430;866.7390;222.4150;A;5020;502010;50;7311
4066;31/12/1998;1998;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;6910.0600;1086.4680;285.0680;A;5020;502010;50;7311
4066;31/12/1999;1999;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;9017.6370;1552.8980;362.8820;A;5020;502010;50;7311
4066;31/12/2000;2000;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;9891.4990;1548.4770;498.7950;A;5020;502010;50;7311
4066;31/12/2001;2001;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;10617.4140;2178.4190;503.1420;A;5020;502010;50;7311
4066;31/12/2002;2002;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;11819.8020;2568.9270;643.4590;A;5020;502010;50;7311
4066;31/12/2003;2003;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;14499.4560;3466.0590;675.8830;A;5020;502010;50;7311
4066;31/12/2004;2004;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;16002.4000;4078.7000;723.5000;A;5020;502010;50;7311
4066;31/12/2005;2005;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;15919.9000;3948.0000;790.7000;A;5020;502010;50;7311
4066;31/12/2006;2006;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;18164.4000;3871.3000;864.0000;A;5020;502010;50;7311
4066;31/12/2007;2007;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;19271.7000;4091.7000;975.7000;A;5020;502010;50;7311
4066;31/12/2008;2008;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;17318.4000;3522.8000;1000.3000;A;5020;502010;50;7311
4066;31/12/2009;2009;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;17920.7000;4194.8000;793.0000;A;5020;502010;50;7311
4066;31/12/2010;2010;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;19566.1000;3580.5000;827.7000;A;5020;502010;50;7311
4066;31/12/2011;2011;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;20505.4000;3504.3000;952.6000;A;5020;502010;50;7311
4066;31/12/2012;2012;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;22151.9000;3460.8000;998.3000;A;5020;502010;50;7311
4066;31/12/2013;2013;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;22098.7000;3582.4000;991.1000;A;5020;502010;50;7311
4066;31/12/2014;2014;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;21559.7000;2850.0000;1104.0000;A;5020;502010;50;7311
4066;31/12/2015;2015;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;22110.7000;2452.4000;1093.9000;A;5020;502010;50;7311
4066;31/12/2016;2016;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;23165.4000;2162.0000;1148.6000;A;5020;502010;50;7311
4066;31/12/2017;2017;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;24931.2000;2615.1000;1088.4000;A;5020;502010;50;7311
4066;31/12/2018;2018;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;24617.0000;2547.1000;1326.4000;A;5020;502010;50;7311
4066;31/12/2019;2019;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;26783.4000;2853.9000;1339.1000;A;5020;502010;50;7311
4066;31/12/2020;2020;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;27647.2000;3084.4000;945.4000;A;5020;502010;50;7311
4066;31/12/2021;2021;INDL;C;D;STD;OMC;OMNICOM GROUP INC;USD;28421.8000;3270.2000;1407.8000;A;5020;502010;50;7311
4598;31/05/1992;1991;INDL;C;D;STD;FDX;FEDEX CORP;USD;5463.1860;1579.7220;-113.7820;A;2030;203010;20;4513
4598;31/05/1993;1992;INDL;C;D;STD;FDX;FEDEX CORP;USD;5793.0640;1671.3810;109.8090;A;2030;203010;20;4513
4598;31/05/1994;1993;INDL;C;D;STD;FDX;FEDEX CORP;USD;5992.4980;1924.7050;204.3700;A;2030;203010;20;4513
4598;31/05/1995;1994;INDL;C;D;STD;FDX;FEDEX CORP;USD;6433.3720;2245.5690;297.5880;A;2030;203010;20;4513
4598;31/05/1996;1995;INDL;C;D;STD;FDX;FEDEX CORP;USD;6698.9710;2576.1390;307.7770;A;2030;203010;20;4513
4598;31/05/1997;1996;INDL;C;D;STD;FDX;FEDEX CORP;USD;7625.4860;2962.5140;361.2270;A;2030;203010;20;4513
4598;31/05/1998;1997;INDL;C;D;STD;FDX;FEDEX CORP;USD;9686.0600;3961.2300;498.1550;A;2030;203010;20;4513
4598;31/05/1999;1998;INDL;C;D;STD;FDX;FEDEX CORP;USD;10648.2110;4663.6920;631.3330;A;2030;203010;20;4513
4598;31/05/2000;1999;INDL;C;D;STD;FDX;FEDEX CORP;USD;11527.1110;4785.2430;688.3360;A;2030;203010;20;4513
4598;31/05/2001;2000;INDL;C;D;STD;FDX;FEDEX CORP;USD;13340.0120;5900.4200;584.3710;A;2030;203010;20;4513
4598;31/05/2002;2001;INDL;C;D;STD;FDX;FEDEX CORP;USD;13812.0000;6545.0000;725.0000;A;2030;203010;20;4513
4598;31/05/2003;2002;INDL;C;D;STD;FDX;FEDEX CORP;USD;15385.0000;7288.0000;830.0000;A;2030;203010;20;4513
4598;31/05/2004;2003;INDL;C;D;STD;FDX;FEDEX CORP;USD;19134.0000;8036.0000;838.0000;A;2030;203010;20;4513
4598;31/05/2005;2004;INDL;C;D;STD;FDX;FEDEX CORP;USD;20404.0000;9588.0000;1449.0000;A;2030;203010;20;4513
4598;31/05/2006;2005;INDL;C;D;STD;FDX;FEDEX CORP;USD;22690.0000;11511.0000;1806.0000;A;2030;203010;20;4513
4598;31/05/2007;2006;INDL;C;D;STD;FDX;FEDEX CORP;USD;24000.0000;12656.0000;2016.0000;A;2030;203010;20;4513
4598;31/05/2008;2007;INDL;C;D;STD;FDX;FEDEX CORP;USD;25633.0000;14526.0000;1125.0000;A;2030;203010;20;4513
4598;31/05/2009;2008;INDL;C;D;STD;FDX;FEDEX CORP;USD;24244.0000;13626.0000;98.0000;A;2030;203010;20;4513
4598;31/05/2010;2009;INDL;C;D;STD;FDX;FEDEX CORP;USD;24902.0000;13811.0000;1184.0000;A;2030;203010;20;4513
4598;31/05/2011;2010;INDL;C;D;STD;FDX;FEDEX CORP;USD;27385.0000;15220.0000;1452.0000;A;2030;203010;20;4513
4598;31/05/2012;2011;INDL;C;D;STD;FDX;FEDEX CORP;USD;29903.0000;14727.0000;2032.0000;A;2030;203010;20;4513
4598;31/05/2013;2012;INDL;C;D;STD;FDX;FEDEX CORP;USD;33567.0000;17398.0000;1561.0000;A;2030;203010;20;4513
4598;31/05/2014;2013;INDL;C;D;STD;FDX;FEDEX CORP;USD;33070.0000;15277.0000;2097.0000;A;2030;203010;20;4513
4598;31/05/2015;2014;INDL;C;D;STD;FDX;FEDEX CORP;USD;37069.0000;14993.0000;1050.0000;A;2030;203010;20;4513
4598;31/05/2016;2015;INDL;C;D;STD;FDX;FEDEX CORP;USD;46064.0000;13784.0000;1820.0000;A;2030;203010;20;4513
4598;31/05/2017;2016;INDL;C;D;STD;FDX;FEDEX CORP;USD;48552.0000;16073.0000;2997.0000;A;2030;203010;20;4513
4598;31/05/2018;2017;INDL;C;D;STD;FDX;FEDEX CORP;USD;52330.0000;19416.0000;4572.0000;A;2030;203010;20;4513
4598;31/05/2019;2018;INDL;C;D;STD;FDX;FEDEX CORP;USD;54403.0000;17757.0000;540.0000;A;2030;203010;20;4513
4598;31/05/2020;2019;INDL;C;D;STD;FDX;FEDEX CORP;USD;73537.0000;18295.0000;1286.0000;A;2030;203010;20;4513
4598;31/05/2021;2020;INDL;C;D;STD;FDX;FEDEX CORP;USD;82777.0000;24168.0000;5231.0000;A;2030;203010;20;4513
5116;31/12/1992;1992;INDL;C;D;STD;GNTX;GENTEX CORP;USD;40.2560;35.4500;5.0660;A;2510;251010;25;3714
5116;31/12/1993;1993;INDL;C;D;STD;GNTX;GENTEX CORP;USD;55.1910;49.5470;9.8450;A;2510;251010;25;3714
5116;31/12/1994;1994;INDL;C;D;STD;GNTX;GENTEX CORP;USD;80.4900;71.3750;16.4660;A;2510;251010;25;3714
5116;31/12/1995;1995;INDL;C;D;STD;GNTX;GENTEX CORP;USD;109.2440;94.6720;18.8950;A;2510;251010;25;3714
5116;31/12/1996;1996;INDL;C;D;STD;GNTX;GENTEX CORP;USD;140.3780;127.8040;23.9630;A;2510;251010;25;3714
5116;31/12/1997;1997;INDL;C;D;STD;GNTX;GENTEX CORP;USD;189.7830;173.2050;35.2300;A;2510;251010;25;3714
5116;31/12/1998;1998;INDL;C;D;STD;GNTX;GENTEX CORP;USD;254.8900;237.0080;50.3070;A;2510;251010;25;3714
5116;31/12/1999;1999;INDL;C;D;STD;GNTX;GENTEX CORP;USD;337.6730;317.0510;64.8640;A;2510;251010;25;3714
5116;31/12/2000;2000;INDL;C;D;STD;GNTX;GENTEX CORP;USD;428.1290;402.1040;70.5440;A;2510;251010;25;3714
5116;31/12/2001;2001;INDL;C;D;STD;GNTX;GENTEX CORP;USD;506.8230;479.0010;65.2170;A;2510;251010;25;3714
